epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,751.979,0.62953,3.42025,0.23298,0.72527,1.03738,0.6699,0.92045,0.9048,0.80994,0.70993,0.84447,0.86749,0.50896,0.49248,2.53423,0.06031,0.81546,0.94228,0.00107288,0.00107288,0.00107288
38,773.965,0.64132,3.53311,0.2286,0.70532,1.0196,0.74978,0.91014,0.90953,0.82479,0.77396,0.8751,0.87337,0.54736,0.48942,2.34573,0.04175,0.66174,0.94608,0.00105638,0.00105638,0.00105638
39,794.113,0.63936,3.52374,0.24304,0.71264,1.04305,0.78307,0.84458,0.93727,0.84397,0.85414,0.7634,0.89271,0.55721,0.4774,2.3724,0.05979,0.71736,0.93437,0.00103987,0.00103987,0.00103987
40,813.953,0.6134,3.65061,0.23156,0.70789,1.03771,0.6885,0.86909,0.92343,0.82707,0.75667,0.76828,0.79832,0.45241,0.48955,2.89391,0.02786,0.97437,0.94017,0.00102337,0.00102337,0.00102337
41,835.902,0.62656,3.40987,0.22018,0.67058,1.03482,0.79796,0.84738,0.87554,0.79004,0.79796,0.84738,0.80972,0.52002,0.46983,2.39834,0.04547,0.70404,0.92899,0.00100687,0.00100687,0.00100687
42,855.923,0.61484,3.33195,0.22089,0.66393,1.03204,0.70946,0.85887,0.85745,0.77634,0.71934,0.81635,0.76529,0.45681,0.47315,2.60845,0.05751,1.01707,0.92066,0.000990365,0.000990365,0.000990365
43,875.7,0.5846,3.20524,0.22677,0.62099,1.02266,0.82434,0.86175,0.92919,0.83282,0.82434,0.86175,0.90412,0.5953,0.49431,2.15399,0.03056,0.64323,0.93871,0.000973861,0.000973861,0.000973861
44,892.29,0.60871,3.34923,0.21645,0.68254,1.01394,0.87189,0.89558,0.90683,0.82295,0.87189,0.89558,0.87755,0.60614,0.47388,1.9853,0.04525,0.57021,0.93459,0.000957358,0.000957358,0.000957358
45,915.8,0.60815,3.40491,0.21272,0.67884,1.02206,0.88551,0.91114,0.90258,0.81542,0.88551,0.91114,0.88355,0.58812,0.49231,1.93862,0.02858,0.54026,0.9558,0.000940855,0.000940855,0.000940855
46,932.23,0.61002,3.26854,0.20862,0.6371,1.00969,0.83858,0.92967,0.8919,0.81114,0.84209,0.91685,0.86429,0.58282,0.47505,2.19745,0.05202,0.55607,0.93347,0.000924352,0.000924352,0.000924352
